１年前,1288,1288,3302,名詞,固有名詞,一般,*,*,*,1年前,イチネンマエ,イチネンマエ
一年前,1288,1288,3537,名詞,固有名詞,一般,*,*,*,1年前,イチネンマエ,イチネンマエ
２年前,1288,1288,4548,名詞,固有名詞,一般,*,*,*,2年前,ニネンマエ,ニネンマエ
二年前,1288,1288,2972,名詞,固有名詞,一般,*,*,*,2年前,ニネンマエ,ニネンマエ
３年前,1288,1288,4217,名詞,固有名詞,一般,*,*,*,3年前,サンネンマエ,サンネンマエ
三年前,1288,1288,2785,名詞,固有名詞,一般,*,*,*,3年前,サンネンマエ,サンネンマエ
４年前,1288,1288,4513,名詞,固有名詞,一般,*,*,*,4年前,ヨンネンマエ,ヨンネンマエ
四年前,1288,1288,3645,名詞,固有名詞,一般,*,*,*,4年前,ヨンネンマエ,ヨンネンマエ
５年前,1288,1288,3423,名詞,固有名詞,一般,*,*,*,5年前,ゴネンマエ,ゴネンマエ
五年前,1288,1288,3681,名詞,固有名詞,一般,*,*,*,5年前,ゴネンマエ,ゴネンマエ
６年前,1288,1288,3899,名詞,固有名詞,一般,*,*,*,6年前,ロクネンマエ,ロクネンマエ
六年前,1288,1288,2526,名詞,固有名詞,一般,*,*,*,6年前,ロクネンマエ,ロクネンマエ
７年前,1288,1288,4565,名詞,固有名詞,一般,*,*,*,7年前,ナナネンマエ,ナナネンマエ
七年前,1288,1288,3041,名詞,固有名詞,一般,*,*,*,7年前,ナナネンマエ,ナナネンマエ
８年前,1288,1288,4368,名詞,固有名詞,一般,*,*,*,8年前,ハチネンマエ,ハチネンマエ
八年前,1288,1288,3666,名詞,固有名詞,一般,*,*,*,8年前,ハチネンマエ,ハチネンマエ
９年前,1288,1288,5580,名詞,固有名詞,一般,*,*,*,9年前,キュウネンマエ,キューネンマエ
九年前,1288,1288,4154,名詞,固有名詞,一般,*,*,*,9年前,キュウネンマエ,キューネンマエ
１０年前,1288,1288,3314,名詞,固有名詞,一般,*,*,*,10年前,ジュウネンマエ,ジュウネンマエ
十年前,1288,1288,2932,名詞,固有名詞,一般,*,*,*,10年前,ジュウネンマエ,ジューネンマエ
１１年前,1288,1288,2609,名詞,固有名詞,一般,*,*,*,11年前,ジュウイチネンマエ,ジュウイチネンマエ
十一年前,1288,1288,2476,名詞,固有名詞,一般,*,*,*,11年前,ジュウイチネンマエ,ジューイチネンマエ
１２年前,1288,1288,3856,名詞,固有名詞,一般,*,*,*,12年前,ジュウニネンマエ,ジュウニネンマエ
十二年前,1288,1288,1910,名詞,固有名詞,一般,*,*,*,12年前,ジュウニネンマエ,ジューニネンマエ
